Date	Fight	Result	Carrier	Buy rate
Jun 27, 1988	Mike Tyson vs. Michael Spinks	Tyson wins by KO in round 1	HBO	700,000[15]
Oct 25, 1990	Buster Douglas vs. Evander Holyfield	Holyfield wins by KO in round 3	HBO	1,000,000[15]
Apr 19, 1991	Evander Holyfield vs. George Foreman	Holyfield wins by UD (116–111, 117–110, 115–112)	HBO	1,400,000[16]
Oct 18, 1991	Ray Mercer vs. Tommy Morrison	Mercer wins by KO in round 5	HBO	200,000[17]
Jun 19, 1992	Evander Holyfield vs. Larry Holmes	Holyfield wins by UD (117–111, 116–112, 116–112)	HBO	730,000[18]
Nov 13, 1992	Evander Holyfield vs. Riddick Bowe	Bowe wins by UD (117–110, 117–110, 115–112)	HBO	900,000[19]
Jun 7, 1993	George Foreman vs. Tommy Morrison	Morrison wins by UD (117–110, 117–110, 118–108)	HBO	600,000[20]
Nov 6, 1993	Riddick Bowe vs. Evander Holyfield II	Holyfield wins by MD (115–113, 115–114, 114–114)	HBO	950,000[21]
Nov 18, 1994	James Toney vs. Roy Jones Jr.	Jones Jr. wins by UD (119–108, 118–109, 117–110)	HBO	300,000[22]
May 6, 1995	Oscar De La Hoya vs. Rafael Ruelas	De La Hoya wins by TKO in round 2	HBO	330,000[23]
Aug 19, 1995	Mike Tyson vs. Peter McNeeley	Tyson wins by DQ in round 1	Showtime	1,550,000[16]
Nov 4, 1995	Riddick Bowe vs. Evander Holyfield III	Bowe wins by TKO in round 8	HBO	650,000[24]
mar 16, 1996	Frank Bruno vs. Mike Tyson II	Tyson wins by TKO in round 3	Showtime	1,370,000[16]
Sep 7, 1996	Bruce Seldon vs. Mike Tyson	Tyson wins by TKO in round 1	Showtime	1,150,000[16]
Nov 9, 1996	Mike Tyson vs. Evander Holyfield	Holyfield wins by TKO in round 11	Showtime	1,590,000[16]
Apr 12, 1997	Pernell Whitaker vs. Oscar De La Hoya	De La Hoya wins by UD (115–111, 116–110, 116–110)	HBO	720,000[25]
Jun 28, 1997	Evander Holyfield vs. Mike Tyson II	Holyfield wins by DQ in round 3	Showtime	1,990,000[16]
Sep 13, 1997	Oscar De La Hoya vs. Hector Camacho	De La Hoya wins by UD (120–106, 120–105, 118–108)	HBO	560,000[25]
Oct 4, 1997	Lennox Lewis vs. Andrew Golota	Lewis wins by KO in round 1	HBO	300,000[26]
Nov 8, 1997	Evander Holyfield vs. Michael Moorer II	Holyfield wins by RTD in round 8	Showtime	550,000[27]
Jan 16, 1999	Mike Tyson vs. Francois Botha	Tyson wins by KO in round 5	Showtime	750,000[28]
mar 13, 1999	Evander Holyfield vs. Lennox Lewis	Draw (116–113, 113–115, 115–115)	HBO	1,200,000[29]
Sep 18, 1999	Oscar De La Hoya vs. Felix Trinidad	Trinidad wins by MD (115–113, 115–114, 114–114)	HBO	1,400,000[16]
Nov 13, 1999	Evander Holyfield vs. Lennox Lewis II	Lewis wins by UD (116–112, 117–111, 115–113)	HBO	850,000[29]
Apr 29, 2000	Lennox Lewis vs. Michael Grant	Lewis wins by KO in round 2	HBO	340,000[29]
Jun 17, 2000	Oscar De La Hoya vs. Shane Mosley	Mosley wins by SD (116–112, 115–113, 113–115)	HBO	590,000[25]
Sep 9, 2000	Roy Jones Jr. vs. Eric Harding	Jones Jr. wins by RTD in round 10	HBO	125,000[30]
Oct 20, 2000	Mike Tyson vs. Andrew Golota	Tyson wins by TKO in round 3 (later changed to an NC)	Showtime	450,000[31]
Nov 11, 2000	Lennox Lewis vs. David Tua	Lewis wins by UD (119–109, 118–110, 117–111)	HBO	420,000[29]
mar 3, 2001	Evander Holyfield vs. John Ruiz	Ruiz wins by UD (116–110, 115–111, 114–111)	Showtime	185,000[32]
Apr 7, 2001	Marco Antonio Barrera vs. Naseem Hamed	Barrera wins by UD (116–111, 115–112, 115–112)	HBO	310,000[33]
Nov 17, 2001	Hasim Rahman vs. Lennox Lewis II	Lewis wins by KO in round 4	HBO	460,000[34]
